index,베타값,대형주,중형주,코스피,time2,time3,time4,거래량,per,IT,"화학,소재",유틸리티,에너지,필수소비재,금융,헬스케어,전기차,건설업,"통신,방송","유통,의류",코로나와 IT,코로나와 전기차,코로나와 헬스케어,,,,,,,,,,,,,,,,,,
,0.627945346,1,0,0,0,0,1,1463642.336,22.16550707,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,
펄어비스,0.754206129,1,0,0,0,0,0,85506.91453,20.38675952,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.650205813,1,0,0,1,0,0,84273.96774,14.32464366,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.442494413,1,0,0,0,1,0,58172.23577,16.51386408,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.776912094,1,0,0,0,0,1,69084.616,15.25924743,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,
휴젤,1.198568449,1,0,0,0,0,0,32201.33333,25.36376019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.977600362,1,0,0,1,0,0,12911.79839,26.25202239,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.854816369,1,0,0,0,1,0,11791.4065,34.59005387,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.7142455,1,0,0,0,0,1,78153.448,33.90788239,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
sk머티리얼즈,0.635612717,1,0,0,0,0,0,39923.05983,17.50723357,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.347210318,1,0,0,1,0,0,47735.75,15.35069982,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.850485011,1,0,0,0,1,0,40603.07317,14.13327688,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.881436644,1,0,0,0,0,1,75900.088,10.77762844,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
스튜디오드래곤,1.033941359,1,0,0,0,0,0,170323.5214,94.57684685,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.863103327,1,0,0,1,0,0,141352.1452,89.47311273,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.617122156,1,0,0,0,1,0,142910.5041,66.59823437,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,
,0.72873672,1,0,0,0,0,1,369189.504,71.89495056,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,
메드팩토,0.621437651,1,0,0,0,0,1,649771.536,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,1.180977424,1,0,0,0,0,0,425609.735,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.194738753,1,0,0,1,0,0,364941.129,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
,1.191685933,1,0,0,0,1,0,396576.2033,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
원익IPS,1.180977424,1,0,0,0,0,0,425609.735,10.38999701,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
